timestamp,sensor_group,channel,raw_adc,voltage,dose_rad,elapsed_seconds,voltage_valid,voltage_diff_from_mean,voltage_abs_diff_from_mean
2026-06-08 08:15:01.868706,R2,1,1611,0.267032967,126.4713898,0.0,True,-0.006802721142857127,0.006802721142857127
2026-06-08 08:16:01.877938,R2,1,1613,0.269474969,129.0267309,60.009232,True,-0.004360719142857128,0.004360719142857128
2026-06-08 08:17:01.892024,R2,1,1617,0.274358974,134.2210974,120.023318,True,0.0005232858571428411,0.0005232858571428411
2026-06-08 08:18:01.905990,R2,1,1618,0.275579976,135.5371594,180.037284,True,0.0017442878571428677,0.0017442878571428677
2026-06-08 08:19:43.054058,R2,1,1624,0.282905983,143.5807535,281.185352,True,0.009070294857142891,0.009070294857142891
2026-06-08 08:25:01.992679,R2,1,1610,0.265811966,125.204158,600.123973,True,-0.008023722142857126,0.008023722142857126
2026-06-08 08:26:02.006323,R2,1,1623,0.281684982,142.2225977,660.137617,True,0.007849293857142836,0.007849293857142836
2026-06-08 08:27:02.018932,R2,1,1623,0.281684982,142.2225977,720.150226,True,0.007849293857142836,0.007849293857142836
2026-06-08 08:28:02.026199,R2,1,1617,0.274358974,134.2210974,780.157493,True,0.0005232858571428411,0.0005232858571428411
2026-06-08 08:29:02.043101,R2,1,1618,0.275579976,135.5371594,840.174395,True,0.0017442878571428677,0.0017442878571428677
2026-06-08 08:30:02.058592,R2,1,1610,0.265811966,125.204158,900.189886,True,-0.008023722142857126,0.008023722142857126
2026-06-08 08:31:02.083650,R2,1,1620,0.278021978,138.1902907,960.214944,True,0.004186289857142866,0.004186289857142866
2026-06-08 08:32:02.085043,R2,1,1620,0.278021978,138.1929072,1020.216337,True,0.004186289857142866,0.004186289857142866
2026-06-08 08:33:02.100610,R2,1,1612,0.268253968,127.7455787,1080.231904,True,-0.005581720142857127,0.005581720142857127
2026-06-08 08:34:02.112305,R2,1,1622,0.28046398,140.8714726,1140.243599,True,0.006628291857142865,0.006628291857142865
2026-06-08 08:35:02.123126,R2,1,1617,0.274358974,134.2210974,1200.25442,True,0.0005232858571428411,0.0005232858571428411
2026-06-08 08:36:02.137194,R2,1,1621,0.279242979,139.5273723,1260.268488,True,0.005407290857142866,0.005407290857142866
,R2,1,1614,0.270695971,130.3148527,,True,-0.003139717142857157,0.003139717142857157
,R2,1,1621,0.279242979,139.5273723,,True,0.005407290857142866,0.005407290857142866
,R2,1,1618,0.275579976,135.5371594,,True,0.0017442878571428677,0.0017442878571428677
,R2,1,1609,0.264590965,123.9438769,,True,-0.009244723142857125,0.009244723142857125
,R2,1,1618,0.275579976,135.5371594,,True,0.0017442878571428677,0.0017442878571428677
,R2,1,1613,0.269474969,129.0267309,,True,-0.004360719142857128,0.004360719142857128
,R2,1,1617,0.274358974,134.2210974,,True,0.0005232858571428411,0.0005232858571428411
,R2,1,1614,0.270695971,130.3148527,,True,-0.003139717142857157,0.003139717142857157
,R2,1,1610,0.265811966,125.204158,,True,-0.008023722142857126,0.008023722142857126
,R2,1,1618,0.275579976,135.5371594,,True,0.0017442878571428677,0.0017442878571428677
,R2,1,1616,0.273137973,132.9120297,,True,-0.0006977151428571582,0.0006977151428571582
