timestamp,sensor_group,channel,raw_adc,voltage,dose_rad
2026-06-06T00:15:07.613582,R1,1,1604,0.25848595848595846,117.74651097115647
2026-06-06T00:15:07.626617,R1,2,1602,0.256043956043956,115.31599710119251
2026-06-06T00:15:07.638437,R1,3,1632,0.29267399267399274,154.69982460088727
2026-06-06T00:15:07.650428,R1,4,1537,0.17667887667887672,51.030279356579854
2026-06-06T00:15:07.662256,R1,5,1716,0.3952380952380954,299.35782691277905
2026-06-06T00:15:08.376974,R2,1,1626,0.28534798534798544,146.31818157193152
2026-06-06T00:15:08.388860,R2,2,1628,0.2877899877899879,149.0838045029108
2026-06-06T00:15:08.400562,R2,3,1628,0.2877899877899879,149.0838045029108
2026-06-06T00:15:08.412228,R2,4,1608,0.2633699633699633,122.69054023929877
2026-06-06T00:15:08.423874,R2,5,1708,0.38547008547008565,283.34096505191326
2026-06-06T00:16:07.626955,R1,1,1600,0.2536019536019536,112.91308153307737
2026-06-06T00:16:07.639877,R1,2,1602,0.256043956043956,115.31599710119251
2026-06-06T00:16:07.651800,R1,3,1634,0.2951159951159952,157.55031572797694
2026-06-06T00:16:07.663703,R1,4,1537,0.17667887667887672,51.030279356579854
2026-06-06T00:16:07.675576,R1,5,1716,0.3952380952380954,299.35782691277905
2026-06-06T00:16:08.389806,R2,1,1614,0.27069597069597084,130.31485267099328
2026-06-06T00:16:08.401717,R2,2,1628,0.2877899877899879,149.0838045029108
2026-06-06T00:16:08.413574,R2,3,1634,0.2951159951159952,157.55031572797694
2026-06-06T00:16:08.425427,R2,4,1607,0.2621489621489621,121.44414169556457
2026-06-06T00:16:08.437265,R2,5,1705,0.381807081807082,277.45818647204015
2026-06-06T00:17:07.639402,R1,1,1602,0.256043956043956,115.31599710119251
2026-06-06T00:17:07.651480,R1,2,1598,0.25115995115995116,110.53771211568763
2026-06-06T00:17:07.663165,R1,3,1637,0.2987789987789988,161.87928468347948
2026-06-06T00:17:07.674819,R1,4,1532,0.17057387057387063,47.235604088399775
2026-06-06T00:17:07.686485,R1,5,1719,0.39890109890109904,305.48805119072324
2026-06-06T00:17:08.401248,R2,1,1614,0.27069597069597084,130.31485267099328
2026-06-06T00:17:08.413033,R2,2,1625,0.28412698412698423,144.94594617481545
2026-06-06T00:17:08.424728,R2,3,1625,0.28412698412698423,144.94594617481545
2026-06-06T00:17:08.436395,R2,4,1608,0.2633699633699633,122.69054023929877
2026-06-06T00:17:08.448085,R2,5,1705,0.381807081807082,277.45818647204015
2026-06-06T00:18:07.652304,R1,1,1611,0.267032967032967,126.47138982281423
2026-06-06T00:18:07.664698,R1,2,1600,0.2536019536019536,112.91308153307737
2026-06-06T00:18:07.676376,R1,3,1633,0.29389499389499396,156.12152520962363
2026-06-06T00:18:07.688033,R1,4,1531,0.16935286935286942,46.4958089209953
2026-06-06T00:18:07.699686,R1,5,1708,0.38547008547008565,283.34096505191326
2026-06-06T00:18:08.415312,R2,1,1623,0.2816849816849818,142.2225977013942
2026-06-06T00:18:08.427115,R2,2,1622,0.2804639804639806,140.87147263680566
2026-06-06T00:18:08.438783,R2,3,1628,0.2877899877899879,149.0838045029108
2026-06-06T00:18:08.450439,R2,4,1604,0.25848595848595846,117.74651097115647
2026-06-06T00:18:08.462089,R2,5,1705,0.381807081807082,277.45818647204015
2026-06-06T00:19:07.664565,R1,1,1594,0.2462759462759463,105.86940109824164
2026-06-06T00:19:07.676927,R1,2,1596,0.24871794871794872,108.18983629325407
2026-06-06T00:19:07.688609,R1,3,1640,0.3024420024420025,166.2722706183998
2026-06-06T00:19:07.700267,R1,4,1530,0.1681318681318682,45.76237278222454
2026-06-06T00:19:07.711910,R1,5,1716,0.3952380952380954,299.35782691277905
2026-06-06T00:19:08.427552,R2,1,1618,0.2755799755799757,135.5371593511251
2026-06-06T00:19:08.439305,R2,2,1622,0.2804639804639806,140.87147263680566
2026-06-06T00:19:08.450970,R2,3,1624,0.282905982905983,143.58075354588945
2026-06-06T00:19:08.462621,R2,4,1611,0.267032967032967,126.47138982281423
2026-06-06T00:19:08.474265,R2,5,1705,0.381807081807082,277.45818647204015
2026-06-06T00:20:07.678122,R1,1,1603,0.25726495726495724,116.52780100461386
2026-06-06T00:20:07.690184,R1,2,1607,0.2621489621489621,121.44414169556457
2026-06-06T00:20:07.701859,R1,3,1631,0.29145299145299153,153.28520807850126
2026-06-06T00:20:07.713515,R1,4,1534,0.17301587301587307,48.734307548515
2026-06-06T00:20:07.725216,R1,5,1708,0.38547008547008565,283.34096505191326
2026-06-06T00:20:08.439733,R2,1,1622,0.2804639804639806,140.87147263680566
2026-06-06T00:20:08.451524,R2,2,1625,0.28412698412698423,144.94594617481545
2026-06-06T00:20:08.463196,R2,3,1625,0.28412698412698423,144.94594617481545
2026-06-06T00:20:08.474858,R2,4,1610,0.26581196581196576,125.2041579779657
2026-06-06T00:20:08.486516,R2,5,1710,0.3879120879120881,287.3002086456108
2026-06-06T00:21:07.691470,R1,1,1600,0.2536019536019536,112.91308153307737
2026-06-06T00:21:07.704247,R1,2,1598,0.25115995115995116,110.53771211568763
2026-06-06T00:21:07.715925,R1,3,1637,0.2987789987789988,161.87928468347948
2026-06-06T00:21:07.727598,R1,4,1533,0.17179487179487185,47.98176730721231
2026-06-06T00:21:07.739249,R1,5,1711,0.3891330891330893,289.29106181544455
2026-06-06T00:21:08.455615,R2,1,1611,0.267032967032967,126.47138982281423
2026-06-06T00:21:08.467403,R2,2,1617,0.2743589743589745,134.22109737996414
2026-06-06T00:21:08.479092,R2,3,1622,0.2804639804639806,140.87147263680566
2026-06-06T00:21:08.490749,R2,4,1604,0.25848595848595846,117.74651097115647
2026-06-06T00:21:08.502395,R2,5,1707,0.38424908424908444,281.3725652993579
2026-06-06T00:22:07.699171,R1,1,1604,0.25848595848595846,117.74651097115647
2026-06-06T00:22:07.711410,R1,2,1602,0.256043956043956,115.31599710119251
2026-06-06T00:22:07.723269,R1,3,1637,0.2987789987789988,161.87928468347948
2026-06-06T00:22:07.735029,R1,4,1538,0.17789987789987793,51.80841638766333
2026-06-06T00:22:07.746721,R1,5,1713,0.39157509157509174,293.2952541345535
2026-06-06T00:22:08.461379,R2,1,1627,0.28656898656898666,147.69746570039325
2026-06-06T00:22:08.473192,R2,2,1625,0.28412698412698423,144.94594617481545
2026-06-06T00:22:08.484915,R2,3,1632,0.29267399267399274,154.69982460088727
2026-06-06T00:22:08.496623,R2,4,1604,0.25848595848595846,117.74651097115647
2026-06-06T00:22:08.508305,R2,5,1711,0.3891330891330893,289.29106181544455
2026-06-06T00:23:07.712695,R1,1,1603,0.25726495726495724,116.52780100461386
2026-06-06T00:23:07.724925,R1,2,1603,0.25726495726495724,116.52780100461386
2026-06-06T00:23:07.736645,R1,3,1635,0.2963369963369964,158.98620195982775
2026-06-06T00:23:07.748311,R1,4,1529,0.16691086691086698,45.03528659694713
2026-06-06T00:23:07.759975,R1,5,1718,0.3976800976800978,303.4371186355143
2026-06-06T00:23:08.475091,R2,1,1612,0.2682539682539682,127.74557871243167
2026-06-06T00:23:08.486881,R2,2,1619,0.27680097680097693,136.86022176234664
2026-06-06T00:23:08.498561,R2,3,1622,0.2804639804639806,140.87147263680566
2026-06-06T00:23:08.510232,R2,4,1606,0.2609279609279609,120.20467489637791
2026-06-06T00:23:08.521896,R2,5,1712,0.3903540903540905,291.289408766761
2026-06-06T00:24:07.725156,R1,1,1603,0.25726495726495724,116.52780100461386
