timestamp,sensor_group,channel,raw_adc,voltage,dose_rad
2026-06-09T00:00:40.045335,R1,1,1607,0.2621489621489621,121.44414169556457
2026-06-09T00:00:40.058270,R1,2,1601,0.2548229548229548,114.1110927794473
2026-06-09T00:00:40.070056,R1,3,1631,0.29145299145299153,153.28520807850126
2026-06-09T00:00:40.081772,R1,4,1712,0.3903540903540905,291.289408766761
2026-06-09T00:00:40.093446,R1,5,1715,0.39401709401709417,297.329458601494
2026-06-09T00:00:40.807985,R2,1,1621,0.27924297924297936,139.52737232667292
2026-06-09T00:00:40.820077,R2,2,1621,0.27924297924297936,139.52737232667292
2026-06-09T00:00:40.831942,R2,3,1627,0.28656898656898666,147.69746570039325
2026-06-09T00:00:40.843708,R2,4,1709,0.38669108669108687,285.3168446105787
2026-06-09T00:00:40.855457,R2,5,1710,0.3879120879120881,287.3002086456108
2026-06-09T00:01:40.059447,R1,1,1602,0.256043956043956,115.31599710119251
2026-06-09T00:01:40.071767,R1,2,1599,0.2523809523809524,111.721956830711
2026-06-09T00:01:40.083474,R1,3,1631,0.29145299145299153,153.28520807850126
2026-06-09T00:01:40.095155,R1,4,1706,0.3830280830280832,279.41164067076767
2026-06-09T00:01:40.106853,R1,5,1713,0.39157509157509174,293.2952541345535
2026-06-09T00:01:40.821323,R2,1,1616,0.2731379731379733,132.9120297162689
2026-06-09T00:01:40.833390,R2,2,1625,0.28412698412698423,144.94594617481545
2026-06-09T00:01:40.845234,R2,3,1621,0.27924297924297936,139.52737232667292
2026-06-09T00:01:40.857002,R2,4,1705,0.381807081807082,277.45818647204015
2026-06-09T00:01:40.868751,R2,5,1704,0.3805860805860808,275.5121979970476
2026-06-09T00:02:40.072587,R1,1,1602,0.256043956043956,115.31599710119251
2026-06-09T00:02:40.084894,R1,2,1599,0.2523809523809524,111.721956830711
2026-06-09T00:02:40.096693,R1,3,1637,0.2987789987789988,161.87928468347948
2026-06-09T00:02:40.108457,R1,4,1709,0.38669108669108687,285.3168446105787
2026-06-09T00:02:40.120202,R1,5,1713,0.39157509157509174,293.2952541345535
2026-06-09T00:02:40.834675,R2,1,1616,0.2731379731379733,132.9120297162689
2026-06-09T00:02:40.846652,R2,2,1625,0.28412698412698423,144.94594617481545
2026-06-09T00:02:40.858544,R2,3,1626,0.28534798534798544,146.31818157193152
2026-06-09T00:02:40.870385,R2,4,1707,0.38424908424908444,281.3725652993579
2026-06-09T00:02:40.882162,R2,5,1711,0.3891330891330893,289.29106181544455
2026-06-09T00:03:40.088026,R1,1,1604,0.25848595848595846,117.74651097115647
2026-06-09T00:03:40.100425,R1,2,1595,0.2474969474969475,107.02619194407447
2026-06-09T00:03:40.112207,R1,3,1638,0.30000000000000004,163.33649268740257
2026-06-09T00:03:40.124034,R1,4,1702,0.37814407814407835,271.64259933320966
2026-06-09T00:03:40.135796,R1,5,1714,0.39279609279609295,295.3086025421929
2026-06-09T00:03:40.850254,R2,1,1617,0.2743589743589745,134.22109737996414
2026-06-09T00:03:40.862225,R2,2,1621,0.27924297924297936,139.52737232667292
2026-06-09T00:03:40.874088,R2,3,1624,0.282905982905983,143.58075354588945
2026-06-09T00:03:40.886056,R2,4,1711,0.3891330891330893,289.29106181544455
2026-06-09T00:03:40.897829,R2,5,1704,0.3805860805860808,275.5121979970476
2026-06-09T00:04:40.099909,R1,1,1605,0.2597069597069597,118.97213345762198
2026-06-09T00:04:40.112203,R1,2,1597,0.24993894993894994,109.36034080583673
2026-06-09T00:04:40.124164,R1,3,1629,0.2890109890109891,150.477203901906
2026-06-09T00:04:40.135977,R1,4,1707,0.38424908424908444,281.3725652993579
2026-06-09T00:04:40.147771,R1,5,1716,0.3952380952380954,299.35782691277905
2026-06-09T00:04:40.863054,R2,1,1615,0.27191697191697206,131.6099502054994
2026-06-09T00:04:40.875045,R2,2,1622,0.2804639804639806,140.87147263680566
2026-06-09T00:04:40.886907,R2,3,1623,0.2816849816849818,142.2225977013942
2026-06-09T00:04:40.898765,R2,4,1708,0.38547008547008565,283.34096505191326
2026-06-09T00:04:40.910522,R2,5,1707,0.38424908424908444,281.3725652993579
2026-06-09T00:05:40.112970,R1,1,1606,0.2609279609279609,120.20467489637791
2026-06-09T00:05:40.125519,R1,2,1602,0.256043956043956,115.31599710119251
2026-06-09T00:05:40.137479,R1,3,1635,0.2963369963369964,158.98620195982775
2026-06-09T00:05:40.149237,R1,4,1707,0.38424908424908444,281.3725652993579
2026-06-09T00:05:40.161111,R1,5,1710,0.3879120879120881,287.3002086456108
2026-06-09T00:05:40.875814,R2,1,1615,0.27191697191697206,131.6099502054994
2026-06-09T00:05:40.887729,R2,2,1622,0.2804639804639806,140.87147263680566
2026-06-09T00:05:40.899600,R2,3,1617,0.2743589743589745,134.22109737996414
2026-06-09T00:05:40.911571,R2,4,1709,0.38669108669108687,285.3168446105787
2026-06-09T00:05:40.923400,R2,5,1705,0.381807081807082,277.45818647204015
2026-06-09T00:06:40.125016,R1,1,1600,0.2536019536019536,112.91308153307737
2026-06-09T00:06:40.137466,R1,2,1602,0.256043956043956,115.31599710119251
2026-06-09T00:06:40.149346,R1,3,1633,0.29389499389499396,156.12152520962363
2026-06-09T00:06:40.161161,R1,4,1708,0.38547008547008565,283.34096505191326
2026-06-09T00:06:40.172886,R1,5,1716,0.3952380952380954,299.35782691277905
2026-06-09T00:06:40.887300,R2,1,1623,0.2816849816849818,142.2225977013942
2026-06-09T00:06:40.899288,R2,2,1619,0.27680097680097693,136.86022176234664
2026-06-09T00:06:40.911137,R2,3,1625,0.28412698412698423,144.94594617481545
2026-06-09T00:06:40.923052,R2,4,1706,0.3830280830280832,279.41164067076767
2026-06-09T00:06:40.934906,R2,5,1711,0.3891330891330893,289.29106181544455
2026-06-09T00:07:40.138527,R1,1,1606,0.2609279609279609,120.20467489637791
2026-06-09T00:07:40.150726,R1,2,1599,0.2523809523809524,111.721956830711
2026-06-09T00:07:40.162462,R1,3,1632,0.29267399267399274,154.69982460088727
2026-06-09T00:07:40.174195,R1,4,1706,0.3830280830280832,279.41164067076767
2026-06-09T00:07:40.185956,R1,5,1714,0.39279609279609295,295.3086025421929
2026-06-09T00:07:40.900065,R2,1,1623,0.2816849816849818,142.2225977013942
2026-06-09T00:07:40.911992,R2,2,1624,0.282905982905983,143.58075354588945
2026-06-09T00:07:40.923767,R2,3,1625,0.28412698412698423,144.94594617481545
2026-06-09T00:07:40.935566,R2,4,1707,0.38424908424908444,281.3725652993579
2026-06-09T00:07:40.947485,R2,5,1706,0.3830280830280832,279.41164067076767
2026-06-09T00:08:40.152668,R1,1,1607,0.2621489621489621,121.44414169556457
2026-06-09T00:08:40.165021,R1,2,1604,0.25848595848595846,117.74651097115647
2026-06-09T00:08:40.176745,R1,3,1635,0.2963369963369964,158.98620195982775
2026-06-09T00:08:40.188449,R1,4,1709,0.38669108669108687,285.3168446105787
2026-06-09T00:08:40.200116,R1,5,1711,0.3891330891330893,289.29106181544455
2026-06-09T00:08:40.914452,R2,1,1621,0.27924297924297936,139.52737232667292
2026-06-09T00:08:40.926381,R2,2,1626,0.28534798534798544,146.31818157193152
2026-06-09T00:08:40.938149,R2,3,1627,0.28656898656898666,147.69746570039325
2026-06-09T00:08:40.949866,R2,4,1711,0.3891330891330893,289.29106181544455
2026-06-09T00:08:40.961728,R2,5,1697,0.37203907203907227,262.09892106416106
2026-06-09T00:09:40.162731,R1,1,1603,0.25726495726495724,116.52780100461386
2026-06-09T00:09:40.175122,R1,2,1600,0.2536019536019536,112.91308153307737
2026-06-09T00:09:40.186875,R1,3,1637,0.2987789987789988,161.87928468347948
2026-06-09T00:09:40.198630,R1,4,1706,0.3830280830280832,279.41164067076767
2026-06-09T00:09:40.210363,R1,5,1712,0.3903540903540905,291.289408766761
2026-06-09T00:09:40.924794,R2,1,1617,0.2743589743589745,134.22109737996414
2026-06-09T00:09:40.936757,R2,2,1623,0.2816849816849818,142.2225977013942
2026-06-09T00:09:40.948543,R2,3,1623,0.2816849816849818,142.2225977013942
2026-06-09T00:09:40.960324,R2,4,1705,0.381807081807082,277.45818647204015
2026-06-09T00:09:40.972231,R2,5,1701,0.37692307692307714,269.7189796713518
2026-06-09T00:10:40.174602,R1,1,1607,0.2621489621489621,121.44414169556457
2026-06-09T00:10:40.187049,R1,2,1602,0.256043956043956,115.31599710119251
2026-06-09T00:10:40.198821,R1,3,1629,0.2890109890109891,150.477203901906
2026-06-09T00:10:40.210562,R1,4,1711,0.3891330891330893,289.29106181544455
2026-06-09T00:10:40.222317,R1,5,1711,0.3891330891330893,289.29106181544455
2026-06-09T00:10:40.936912,R2,1,1615,0.27191697191697206,131.6099502054994
2026-06-09T00:10:40.948879,R2,2,1626,0.28534798534798544,146.31818157193152
2026-06-09T00:10:40.960904,R2,3,1621,0.27924297924297936,139.52737232667292
2026-06-09T00:10:40.972674,R2,4,1711,0.3891330891330893,289.29106181544455
2026-06-09T00:10:40.984460,R2,5,1710,0.3879120879120881,287.3002086456108
2026-06-09T00:11:40.189821,R1,1,1607,0.2621489621489621,121.44414169556457
2026-06-09T00:11:40.202018,R1,2,1600,0.2536019536019536,112.91308153307737
2026-06-09T00:11:40.213799,R1,3,1633,0.29389499389499396,156.12152520962363
2026-06-09T00:11:40.225642,R1,4,1706,0.3830280830280832,279.41164067076767
2026-06-09T00:11:40.237359,R1,5,1714,0.39279609279609295,295.3086025421929
2026-06-09T00:11:40.951808,R2,1,1621,0.27924297924297936,139.52737232667292
2026-06-09T00:11:40.963776,R2,2,1619,0.27680097680097693,136.86022176234664
2026-06-09T00:11:40.975565,R2,3,1621,0.27924297924297936,139.52737232667292
2026-06-09T00:11:40.987283,R2,4,1712,0.3903540903540905,291.289408766761
2026-06-09T00:11:40.999005,R2,5,1707,0.38424908424908444,281.3725652993579
2026-06-09T00:12:40.201999,R1,1,1606,0.2609279609279609,120.20467489637791
2026-06-09T00:12:40.214273,R1,2,1597,0.24993894993894994,109.36034080583673
2026-06-09T00:12:40.225989,R1,3,1634,0.2951159951159952,157.55031572797694
2026-06-09T00:12:40.237698,R1,4,1704,0.3805860805860808,275.5121979970476
2026-06-09T00:12:40.249424,R1,5,1715,0.39401709401709417,297.329458601494
2026-06-09T00:12:40.963972,R2,1,1618,0.2755799755799757,135.5371593511251
2026-06-09T00:12:40.975940,R2,2,1623,0.2816849816849818,142.2225977013942
2026-06-09T00:12:40.987697,R2,3,1624,0.282905982905983,143.58075354588945
2026-06-09T00:12:40.999410,R2,4,1702,0.37814407814407835,271.64259933320966
2026-06-09T00:12:41.011143,R2,5,1712,0.3903540903540905,291.289408766761
2026-06-09T00:13:40.215874,R1,1,1605,0.2597069597069597,118.97213345762198
2026-06-09T00:13:40.228163,R1,2,1599,0.2523809523809524,111.721956830711
2026-06-09T00:13:40.239883,R1,3,1635,0.2963369963369964,158.98620195982775
2026-06-09T00:13:40.251622,R1,4,1701,0.37692307692307714,269.7189796713518
2026-06-09T00:13:40.263346,R1,5,1711,0.3891330891330893,289.29106181544455
2026-06-09T00:13:40.978079,R2,1,1619,0.27680097680097693,136.86022176234664
2026-06-09T00:13:40.990023,R2,2,1627,0.28656898656898666,147.69746570039325
2026-06-09T00:13:41.001719,R2,3,1624,0.282905982905983,143.58075354588945
2026-06-09T00:13:41.013474,R2,4,1705,0.381807081807082,277.45818647204015
2026-06-09T00:13:41.025205,R2,5,1710,0.3879120879120881,287.3002086456108
2026-06-09T00:14:40.229208,R1,1,1597,0.24993894993894994,109.36034080583673
2026-06-09T00:14:40.241492,R1,2,1595,0.2474969474969475,107.02619194407447
2026-06-09T00:14:40.253269,R1,3,1633,0.29389499389499396,156.12152520962363
2026-06-09T00:14:40.265035,R1,4,1705,0.381807081807082,277.45818647204015
2026-06-09T00:14:40.276717,R1,5,1714,0.39279609279609295,295.3086025421929
2026-06-09T00:14:40.991317,R2,1,1619,0.27680097680097693,136.86022176234664
2026-06-09T00:14:41.003259,R2,2,1622,0.2804639804639806,140.87147263680566
2026-06-09T00:14:41.015008,R2,3,1624,0.282905982905983,143.58075354588945
2026-06-09T00:14:41.026755,R2,4,1706,0.3830280830280832,279.41164067076767
2026-06-09T00:14:41.038538,R2,5,1705,0.381807081807082,277.45818647204015
2026-06-09T00:15:40.243577,R1,1,1605,0.2597069597069597,118.97213345762198
2026-06-09T00:15:40.256002,R1,2,1601,0.2548229548229548,114.1110927794473
2026-06-09T00:15:40.267737,R1,3,1631,0.29145299145299153,153.28520807850126
2026-06-09T00:15:40.279775,R1,4,1699,0.3744810744810747,265.89407591302916
2026-06-09T00:15:40.291841,R1,5,1716,0.3952380952380954,299.35782691277905
2026-06-09T00:15:41.006280,R2,1,1620,0.27802197802197814,138.19029072445352
2026-06-09T00:15:41.018253,R2,2,1615,0.27191697191697206,131.6099502054994
2026-06-09T00:15:41.030155,R2,3,1627,0.28656898656898666,147.69746570039325
2026-06-09T00:15:41.041966,R2,4,1704,0.3805860805860808,275.5121979970476
2026-06-09T00:15:41.053785,R2,5,1705,0.381807081807082,277.45818647204015
2026-06-09T00:16:40.255981,R1,1,1603,0.25726495726495724,116.52780100461386
2026-06-09T00:16:40.268248,R1,2,1600,0.2536019536019536,112.91308153307737
2026-06-09T00:16:40.280293,R1,3,1630,0.2902319902319903,151.87766979966693
2026-06-09T00:16:40.292142,R1,4,1702,0.37814407814407835,271.64259933320966
2026-06-09T00:16:40.303904,R1,5,1712,0.3903540903540905,291.289408766761
2026-06-09T00:16:41.018396,R2,1,1616,0.2731379731379733,132.9120297162689
2026-06-09T00:16:41.030378,R2,2,1625,0.28412698412698423,144.94594617481545
2026-06-09T00:16:41.042122,R2,3,1623,0.2816849816849818,142.2225977013942
2026-06-09T00:16:41.053887,R2,4,1705,0.381807081807082,277.45818647204015
2026-06-09T00:16:41.065674,R2,5,1702,0.37814407814407835,271.64259933320966
2026-06-09T00:17:40.267992,R1,1,1605,0.2597069597069597,118.97213345762198
2026-06-09T00:17:40.280627,R1,2,1597,0.24993894993894994,109.36034080583673
2026-06-09T00:17:40.292526,R1,3,1638,0.30000000000000004,163.33649268740257
2026-06-09T00:17:40.304309,R1,4,1709,0.38669108669108687,285.3168446105787
2026-06-09T00:17:40.316031,R1,5,1715,0.39401709401709417,297.329458601494
2026-06-09T00:17:41.030475,R2,1,1619,0.27680097680097693,136.86022176234664
2026-06-09T00:17:41.042374,R2,2,1622,0.2804639804639806,140.87147263680566
2026-06-09T00:17:41.054186,R2,3,1621,0.27924297924297936,139.52737232667292
2026-06-09T00:17:41.065949,R2,4,1711,0.3891330891330893,289.29106181544455
2026-06-09T00:17:41.077639,R2,5,1701,0.37692307692307714,269.7189796713518
2026-06-09T00:18:40.283907,R1,1,1602,0.256043956043956,115.31599710119251
2026-06-09T00:18:40.296345,R1,2,1598,0.25115995115995116,110.53771211568763
2026-06-09T00:18:40.308117,R1,3,1633,0.29389499389499396,156.12152520962363
2026-06-09T00:18:40.319873,R1,4,1708,0.38547008547008565,283.34096505191326
2026-06-09T00:18:40.331689,R1,5,1715,0.39401709401709417,297.329458601494
2026-06-09T00:18:41.046265,R2,1,1619,0.27680097680097693,136.86022176234664
2026-06-09T00:18:41.058260,R2,2,1618,0.2755799755799757,135.5371593511251
2026-06-09T00:18:41.070085,R2,3,1627,0.28656898656898666,147.69746570039325
2026-06-09T00:18:41.081847,R2,4,1710,0.3879120879120881,287.3002086456108
2026-06-09T00:18:41.093566,R2,5,1704,0.3805860805860808,275.5121979970476
2026-06-09T00:19:40.291563,R1,1,1603,0.25726495726495724,116.52780100461386
2026-06-09T00:19:40.303911,R1,2,1599,0.2523809523809524,111.721956830711
