timestamp,sensor_group,channel,raw_adc,voltage,dose_rad
2026-06-29T00:00:21.357586,R1,1,1593,0.24505494505494507,104.71945706927478
2026-06-29T00:00:21.370232,R1,2,1588,0.238949938949939,99.0722032707918
2026-06-29T00:00:21.382355,R1,3,1622,0.2804639804639806,140.87147263680566
2026-06-29T00:00:21.394235,R1,4,1525,0.16202686202686212,42.19025801625022
2026-06-29T00:00:21.405969,R1,5,4030,3.2206349206349207,30072.821818931647
2026-06-29T00:00:22.120521,R2,1,1611,0.267032967032967,126.47138982281423
2026-06-29T00:00:22.132445,R2,2,1617,0.2743589743589745,134.22109737996414
2026-06-29T00:00:22.144122,R2,3,1613,0.26947496947496963,129.02673091378662
2026-06-29T00:00:22.155827,R2,4,1597,0.24993894993894994,109.36034080583673
2026-06-29T00:00:22.167575,R2,5,4029,3.2194139194139195,30047.774980873262
2026-06-29T00:01:21.372090,R1,1,1595,0.2474969474969475,107.02619194407447
2026-06-29T00:01:21.384278,R1,2,1589,0.2401709401709402,100.18801445424945
2026-06-29T00:01:21.396000,R1,3,1625,0.28412698412698423,144.94594617481545
2026-06-29T00:01:21.407735,R1,4,1525,0.16202686202686212,42.19025801625022
2026-06-29T00:01:21.419776,R1,5,4033,3.2242979242979244,30148.03057113729
2026-06-29T00:01:22.134026,R2,1,1609,0.26459096459096454,123.94387688787533
2026-06-29T00:01:22.145915,R2,2,1613,0.26947496947496963,129.02673091378662
2026-06-29T00:01:22.157662,R2,3,1615,0.27191697191697206,131.6099502054994
2026-06-29T00:01:22.169379,R2,4,1594,0.2462759462759463,105.86940109824164
2026-06-29T00:01:22.181112,R2,5,4030,3.2206349206349207,30072.821818931647
2026-06-29T00:02:21.387548,R1,1,1596,0.24871794871794872,108.18983629325407
2026-06-29T00:02:21.399926,R1,2,1592,0.24383394383394386,103.57635314403198
2026-06-29T00:02:21.411938,R1,3,1626,0.28534798534798544,146.31818157193152
2026-06-29T00:02:21.424128,R1,4,1524,0.1608058608058609,41.49478358959103
2026-06-29T00:02:21.436010,R1,5,4035,3.226739926739927,30198.226612804767
2026-06-29T00:02:22.150559,R2,1,1608,0.2633699633699633,122.69054023929877
2026-06-29T00:02:22.162652,R2,2,1613,0.26947496947496963,129.02673091378662
2026-06-29T00:02:22.174559,R2,3,1619,0.27680097680097693,136.86022176234664
2026-06-29T00:02:22.186441,R2,4,1598,0.25115995115995116,110.53771211568763
2026-06-29T00:02:22.198304,R2,5,4025,3.2145299145299147,29947.701335993388
2026-06-29T00:03:21.399500,R1,1,1595,0.2474969474969475,107.02619194407447
2026-06-29T00:03:21.411797,R1,2,1588,0.238949938949939,99.0722032707918
2026-06-29T00:03:21.423748,R1,3,1624,0.282905982905983,143.58075354588945
2026-06-29T00:03:21.435647,R1,4,1524,0.1608058608058609,41.49478358959103
2026-06-29T00:03:21.447629,R1,5,4025,3.2145299145299147,29947.701335993388
2026-06-29T00:03:22.162303,R2,1,1611,0.267032967032967,126.47138982281423
2026-06-29T00:03:22.174418,R2,2,1612,0.2682539682539682,127.74557871243167
2026-06-29T00:03:22.186310,R2,3,1614,0.27069597069597084,130.31485267099328
2026-06-29T00:03:22.198191,R2,4,1600,0.2536019536019536,112.91308153307737
2026-06-29T00:03:22.210087,R2,5,4033,3.2242979242979244,30148.03057113729
2026-06-29T00:04:21.412692,R1,1,1596,0.24871794871794872,108.18983629325407
2026-06-29T00:04:21.425062,R1,2,1588,0.238949938949939,99.0722032707918
2026-06-29T00:04:21.437002,R1,3,1626,0.28534798534798544,146.31818157193152
2026-06-29T00:04:21.448881,R1,4,1524,0.1608058608058609,41.49478358959103
2026-06-29T00:04:21.460738,R1,5,4035,3.226739926739927,30198.226612804767
2026-06-29T00:04:22.175208,R2,1,1609,0.26459096459096454,123.94387688787533
2026-06-29T00:04:22.187337,R2,2,1613,0.26947496947496963,129.02673091378662
2026-06-29T00:04:22.199268,R2,3,1614,0.27069597069597084,130.31485267099328
2026-06-29T00:04:22.211185,R2,4,1596,0.24871794871794872,108.18983629325407
2026-06-29T00:04:22.223093,R2,5,4025,3.2145299145299147,29947.701335993388
2026-06-29T00:05:21.418136,R1,1,1593,0.24505494505494507,104.71945706927478
2026-06-29T00:05:21.430691,R1,2,1592,0.24383394383394386,103.57635314403198
2026-06-29T00:05:21.442602,R1,3,1626,0.28534798534798544,146.31818157193152
