timestamp,sensor_group,channel,raw_adc,voltage,dose_rad
2026-06-14T00:00:44.485742,R1,1,1595,0.2474969474969475,107.02619194407447
2026-06-14T00:00:44.498597,R1,2,1586,0.23650793650793656,96.86099241434842
2026-06-14T00:00:44.510577,R1,3,1628,0.2877899877899879,149.0838045029108
2026-06-14T00:00:44.522608,R1,4,1520,0.15592185592185603,38.775734607458915
2026-06-14T00:00:44.534422,R1,5,1700,0.3757020757020759,267.8028067870618
2026-06-14T00:00:45.248963,R2,1,1610,0.26581196581196576,125.2041579779657
2026-06-14T00:00:45.260916,R2,2,1613,0.26947496947496963,129.02673091378662
2026-06-14T00:00:45.272680,R2,3,1612,0.2682539682539682,127.74557871243167
2026-06-14T00:00:45.284417,R2,4,1596,0.24871794871794872,108.18983629325407
2026-06-14T00:00:45.296137,R2,5,1692,0.3659340659340662,252.7409329944309
2026-06-14T00:01:44.497515,R1,1,1596,0.24871794871794872,108.18983629325407
2026-06-14T00:01:44.509858,R1,2,1587,0.23772893772893777,97.96319821691411
2026-06-14T00:01:44.521855,R1,3,1623,0.2816849816849818,142.2225977013942
2026-06-14T00:01:44.533851,R1,4,1525,0.16202686202686212,42.19025801625022
2026-06-14T00:01:44.545890,R1,5,1706,0.3830280830280832,279.41164067076767
2026-06-14T00:01:45.260930,R2,1,1612,0.2682539682539682,127.74557871243167
2026-06-14T00:01:45.272907,R2,2,1611,0.267032967032967,126.47138982281423
2026-06-14T00:01:45.284655,R2,3,1611,0.267032967032967,126.47138982281423
2026-06-14T00:01:45.296385,R2,4,1598,0.25115995115995116,110.53771211568763
2026-06-14T00:01:45.308109,R2,5,1695,0.36959706959706984,258.33347673590345
2026-06-14T00:02:44.511149,R1,1,1598,0.25115995115995116,110.53771211568763
2026-06-14T00:02:44.523707,R1,2,1583,0.2328449328449329,93.59510130404082
2026-06-14T00:02:44.535499,R1,3,1625,0.28412698412698423,144.94594617481545
2026-06-14T00:02:44.547292,R1,4,1521,0.15714285714285725,39.44608858492411
2026-06-14T00:02:44.559252,R1,5,1703,0.37936507936507957,273.5736705275669
2026-06-14T00:02:45.274004,R2,1,1609,0.26459096459096454,123.94387688787533
2026-06-14T00:02:45.285992,R2,2,1615,0.27191697191697206,131.6099502054994
2026-06-14T00:02:45.297803,R2,3,1618,0.2755799755799757,135.5371593511251
2026-06-14T00:02:45.309586,R2,4,1597,0.24993894993894994,109.36034080583673
2026-06-14T00:02:45.321370,R2,5,1695,0.36959706959706984,258.33347673590345
2026-06-14T00:03:44.526795,R1,1,1594,0.2462759462759463,105.86940109824164
2026-06-14T00:03:44.539348,R1,2,1588,0.238949938949939,99.0722032707918
2026-06-14T00:03:44.551149,R1,3,1621,0.27924297924297936,139.52737232667292
2026-06-14T00:03:44.562932,R1,4,1522,0.15836385836385847,40.12270836484531
2026-06-14T00:03:44.574720,R1,5,1703,0.37936507936507957,273.5736705275669
2026-06-14T00:03:45.289487,R2,1,1608,0.2633699633699633,122.69054023929877
2026-06-14T00:03:45.301425,R2,2,1611,0.267032967032967,126.47138982281423
2026-06-14T00:03:45.313108,R2,3,1612,0.2682539682539682,127.74557871243167
2026-06-14T00:03:45.324847,R2,4,1594,0.2462759462759463,105.86940109824164
2026-06-14T00:03:45.336579,R2,5,1693,0.3671550671550674,254.5977043366279
2026-06-14T00:04:44.532851,R1,1,1595,0.2474969474969475,107.02619194407447
2026-06-14T00:04:44.545486,R1,2,1590,0.24139194139194142,101.31063861740232
2026-06-14T00:04:44.557483,R1,3,1623,0.2816849816849818,142.2225977013942
2026-06-14T00:04:44.569395,R1,4,1521,0.15714285714285725,39.44608858492411
2026-06-14T00:04:44.581284,R1,5,1703,0.37936507936507957,273.5736705275669
2026-06-14T00:04:45.296002,R2,1,1604,0.25848595848595846,117.74651097115647
2026-06-14T00:04:45.308205,R2,2,1614,0.27069597069597084,130.31485267099328
2026-06-14T00:04:45.320302,R2,3,1617,0.2743589743589745,134.22109737996414
2026-06-14T00:04:45.332260,R2,4,1593,0.24505494505494507,104.71945706927478
2026-06-14T00:04:45.344136,R2,5,1697,0.37203907203907227,262.09892106416106
2026-06-14T00:05:44.544164,R1,1,1589,0.2401709401709402,100.18801445424945
2026-06-14T00:05:44.556473,R1,2,1583,0.2328449328449329,93.59510130404082
2026-06-14T00:05:44.568250,R1,3,1626,0.28534798534798544,146.31818157193152
2026-06-14T00:05:44.579998,R1,4,1521,0.15714285714285725,39.44608858492411
2026-06-14T00:05:44.591854,R1,5,1704,0.3805860805860808,275.5121979970476
2026-06-14T00:05:45.306464,R2,1,1607,0.2621489621489621,121.44414169556457
2026-06-14T00:05:45.318530,R2,2,1617,0.2743589743589745,134.22109737996414
2026-06-14T00:05:45.330389,R2,3,1618,0.2755799755799757,135.5371593511251
2026-06-14T00:05:45.342179,R2,4,1598,0.25115995115995116,110.53771211568763
2026-06-14T00:05:45.354020,R2,5,1697,0.37203907203907227,262.09892106416106
2026-06-14T00:06:44.556798,R1,1,1596,0.24871794871794872,108.18983629325407
2026-06-14T00:06:44.569251,R1,2,1586,0.23650793650793656,96.86099241434842
2026-06-14T00:06:44.581007,R1,3,1624,0.282905982905983,143.58075354588945
