timestamp,sensor_group,channel,raw_adc,raw_voltage_v,delta_voltage_v,voltage_valid,dose_rad
2026-06-08 08:27:02.065777,R2,5,1702,2.078144,0.248144,True,539.924
2026-06-08 08:28:01.263995,R1,1,1602,1.956044,0.146044,True,301.905
2026-06-08 08:28:01.276836,R1,2,1598,1.95116,0.14116,True,290.851
2026-06-08 08:28:01.288566,R1,3,1635,1.996337,0.186337,True,394.374
2026-06-08 08:28:01.300232,R1,4,1526,1.863248,0.053248,True,99.852
2026-06-08 08:28:01.311877,R1,5,1710,2.087912,0.277912,True,611.349
2026-06-08 08:28:02.026199,R2,1,1617,1.974359,0.144359,True,298.087
2026-06-08 08:28:02.037960,R2,2,1618,1.97558,0.14558,True,300.853
2026-06-08 08:28:02.049657,R2,3,1623,1.981685,0.151685,True,314.716
2026-06-08 08:28:02.061587,R2,4,1600,1.953602,0.123602,True,251.427
2026-06-08 08:28:02.073238,R2,5,1705,2.081807,0.251807,True,548.67
2026-06-08 08:29:01.281636,R1,1,1607,1.962149,0.152149,True,315.772
2026-06-08 08:29:01.293717,R1,2,1599,1.952381,0.142381,True,293.611
2026-06-08 08:29:01.305415,R1,3,1638,2.0,0.19,True,402.884
2026-06-08 08:29:01.317090,R1,4,1538,1.8779,0.0679,True,130.353
2026-06-08 08:29:01.328758,R1,5,1712,2.090354,0.280354,True,617.243
2026-06-08 08:29:02.043101,R2,1,1618,1.97558,0.14558,True,300.853
2026-06-08 08:29:02.055127,R2,2,1620,1.978022,0.148022,True,306.392
2026-06-08 08:29:02.066967,R2,3,1624,1.982906,0.152906,True,317.495
2026-06-08 08:29:02.078683,R2,4,1600,1.953602,0.123602,True,251.427
2026-06-08 08:29:02.090386,R2,5,1705,2.081807,0.251807,True,548.67
2026-06-08 08:30:01.296084,R1,1,1602,1.956044,0.146044,True,301.905
2026-06-08 08:30:01.308396,R1,2,1601,1.954823,0.144823,True,299.138
2026-06-08 08:30:01.320335,R1,3,1627,1.986569,0.176569,True,371.762
2026-06-08 08:30:01.332229,R1,4,1529,1.866911,0.056911,True,107.409
2026-06-08 08:30:01.344111,R1,5,1709,2.086691,0.276691,True,608.405
2026-06-08 08:30:02.058592,R2,1,1610,1.965812,0.135812,True,278.79
2026-06-08 08:30:02.070729,R2,2,1626,1.985348,0.155348,True,323.06
2026-06-08 08:30:02.082612,R2,3,1616,1.973138,0.143138,True,295.324
2026-06-08 08:30:02.094468,R2,4,1601,1.954823,0.124823,True,254.152
2026-06-08 08:30:02.106339,R2,5,1703,2.079365,0.249365,True,542.838
2026-06-08 08:31:01.321954,R1,1,1603,1.957265,0.147265,True,304.674
2026-06-08 08:31:01.334154,R1,2,1601,1.954823,0.144823,True,299.138
2026-06-08 08:31:01.345886,R1,3,1629,1.989011,0.179011,True,377.404
2026-06-08 08:31:01.357564,R1,4,1530,1.868132,0.058132,True,109.938
2026-06-08 08:31:01.369179,R1,5,1713,2.091575,0.281575,True,620.191
2026-06-08 08:31:02.083650,R2,1,1620,1.978022,0.148022,True,306.392
2026-06-08 08:31:02.095615,R2,2,1621,1.979243,0.149243,True,309.165
2026-06-08 08:31:02.107373,R2,3,1622,1.980464,0.150464,True,311.939
2026-06-08 08:31:02.119247,R2,4,1609,1.964591,0.134591,True,276.042
2026-06-08 08:31:02.130891,R2,5,1704,2.080586,0.250586,True,545.753
2026-06-08 08:32:01.322993,R1,1,1606,1.960928,0.150928,True,312.994
2026-06-08 08:32:01.335147,R1,2,1601,1.954823,0.144823,True,299.138
2026-06-08 08:32:01.346860,R1,3,1636,1.997558,0.187558,True,397.209
2026-06-08 08:32:01.358547,R1,4,1529,1.866911,0.056911,True,107.409
2026-06-08 08:32:01.370258,R1,5,1710,2.087912,0.277912,True,611.349
2026-06-08 08:32:02.085043,R2,1,1620,1.978022,0.148022,True,306.392
2026-06-08 08:32:02.096961,R2,2,1620,1.978022,0.148022,True,306.392
2026-06-08 08:32:02.108731,R2,3,1619,1.976801,0.146801,True,303.621
2026-06-08 08:32:02.120539,R2,4,1611,1.967033,0.137033,True,281.54
2026-06-08 08:32:02.132229,R2,5,1707,2.084249,0.254249,True,554.508
2026-06-08 08:33:01.337138,R1,1,1595,1.947497,0.137497,True,282.585
2026-06-08 08:33:01.349906,R1,2,1595,1.947497,0.137497,True,282.585
2026-06-08 08:33:01.361938,R1,3,1633,1.993895,0.183895,True,388.71
2026-06-08 08:33:01.373893,R1,4,1532,1.870574,0.060574,True,115.013
2026-06-08 08:33:01.385814,R1,5,1702,2.078144,0.268144,True,587.826
2026-06-08 08:33:02.100610,R2,1,1612,1.968254,0.138254,True,284.292
2026-06-08 08:33:02.112864,R2,2,1623,1.981685,0.151685,True,314.716
2026-06-08 08:33:02.124884,R2,3,1623,1.981685,0.151685,True,314.716
2026-06-08 08:33:02.136895,R2,4,1594,1.946276,0.116276,True,235.132
2026-06-08 08:33:02.148968,R2,5,1704,2.080586,0.250586,True,545.753
2026-06-08 08:34:01.350098,R1,1,1595,1.947497,0.137497,True,282.585
2026-06-08 08:34:01.362198,R1,2,1599,1.952381,0.142381,True,293.611
2026-06-08 08:34:01.373906,R1,3,1635,1.996337,0.186337,True,394.374
2026-06-08 08:34:01.385582,R1,4,1529,1.866911,0.056911,True,107.409
2026-06-08 08:34:01.397330,R1,5,1705,2.081807,0.271807,True,596.638
2026-06-08 08:34:02.112305,R2,1,1622,1.980464,0.150464,True,311.939
2026-06-08 08:34:02.124182,R2,2,1624,1.982906,0.152906,True,317.495
2026-06-08 08:34:02.135862,R2,3,1623,1.981685,0.151685,True,314.716
2026-06-08 08:34:02.147527,R2,4,1608,1.96337,0.13337,True,273.297
2026-06-08 08:34:02.159227,R2,5,1708,2.08547,0.25547,True,557.429
2026-06-08 08:35:01.361172,R1,1,1595,1.947497,0.137497,True,282.585
2026-06-08 08:35:01.373487,R1,2,1594,1.946276,0.136276,True,279.834
2026-06-08 08:35:01.385222,R1,3,1626,1.985348,0.175348,True,368.944
2026-06-08 08:35:01.396994,R1,4,1535,1.874237,0.064237,True,122.662
2026-06-08 08:35:01.408692,R1,5,1710,2.087912,0.277912,True,611.349
2026-06-08 08:35:02.123126,R2,1,1617,1.974359,0.144359,True,298.087
2026-06-08 08:35:02.135320,R2,2,1627,1.986569,0.156569,True,325.846
2026-06-08 08:35:02.148507,R2,3,1612,1.968254,0.138254,True,284.292
2026-06-08 08:35:02.160877,R2,4,1599,1.952381,0.122381,True,248.704
2026-06-08 08:35:02.172870,R2,5,1700,2.075702,0.245702,True,534.1
2026-06-08 08:36:01.375152,R1,1,1598,1.95116,0.14116,True,290.851
2026-06-08 08:36:01.387378,R1,2,1601,1.954823,0.144823,True,299.138
2026-06-08 08:36:01.399216,R1,3,1627,1.986569,0.176569,True,371.762
2026-06-08 08:36:01.411104,R1,4,1535,1.874237,0.064237,True,122.662
2026-06-08 08:36:01.422872,R1,5,1710,2.087912,0.277912,True,611.349
2026-06-08 08:36:02.137194,R2,1,1621,1.979243,0.149243,True,309.165
2026-06-08 08:36:02.149089,R2,2,1618,1.97558,0.14558,True,300.853
2026-06-08 08:36:02.160801,R2,3,1627,1.986569,0.156569,True,325.846
2026-06-08 08:36:02.172497,R2,4,1604,1.958486,0.128486,True,262.342
2026-06-08 08:36:02.184167,R2,5,1706,2.083028,0.253028,True,551.588
2026-06-08 08:37:01.388709,R1,1,1600,1.953602,0.143602,True,296.374
2026-06-08 08:37:01.401213,R1,2,1600,1.953602,0.143602,True,296.374
2026-06-08 08:37:01.412946,R1,3,1633,1.993895,0.183895,True,388.71
2026-06-08 08:37:01.424626,R1,4,1531,1.869353,0.059353,True,112.473
2026-06-08 08:37:01.436307,R1,5,1714,2.092796,0.282796,True,623.141
2026-06-08 08:37:02.150609,R2,1,1609,1.964591,0.134591,True,276.042
2026-06-08 08:37:02.162513,R2,2,1621,1.979243,0.149243,True,309.165
2026-06-08 08:37:02.174195,R2,3,1620,1.978022,0.148022,True,306.392
2026-06-08 08:37:02.185856,R2,4,1610,1.965812,0.135812,True,278.79
2026-06-08 08:37:02.197583,R2,5,1702,2.078144,0.248144,True,539.924
2026-06-08 08:38:01.401927,R1,1,1596,1.948718,0.138718,True,285.338
2026-06-08 08:38:01.414981,R1,2,1599,1.952381,0.142381,True,293.611
2026-06-08 08:38:01.427010,R1,3,1638,2.0,0.19,True,402.884
2026-06-08 08:38:01.438910,R1,4,1536,1.875458,0.065458,True,125.221
2026-06-08 08:38:01.450771,R1,5,1705,2.081807,0.271807,True,596.638
2026-06-08 08:38:02.165412,R2,1,1614,1.970696,0.140696,True,289.803
2026-06-08 08:38:02.177601,R2,2,1616,1.973138,0.143138,True,295.324
2026-06-08 08:38:02.189570,R2,3,1620,1.978022,0.148022,True,306.392
2026-06-08 08:38:02.201472,R2,4,1603,1.957265,0.127265,True,259.609
2026-06-08 08:38:02.213408,R2,5,1701,2.076923,0.246923,True,537.011
2026-06-08 08:39:01.412074,R1,1,1605,1.959707,0.149707,True,310.219
2026-06-08 08:39:01.424383,R1,2,1597,1.949939,0.139939,True,288.094
2026-06-08 08:39:01.436063,R1,3,1629,1.989011,0.179011,True,377.404
2026-06-08 08:39:01.447757,R1,4,1527,1.864469,0.054469,True,102.365
2026-06-08 08:39:01.459428,R1,5,1706,2.083028,0.273028,True,599.578
2026-06-08 08:39:02.173459,R2,1,1621,1.979243,0.149243,True,309.165
2026-06-08 08:39:02.185218,R2,2,1613,1.969475,0.139475,True,287.046
2026-06-08 08:39:02.196887,R2,3,1616,1.973138,0.143138,True,295.324
2026-06-08 08:39:02.208530,R2,4,1604,1.958486,0.128486,True,262.342
2026-06-08 08:39:02.220293,R2,5,1703,2.079365,0.249365,True,542.838
2026-06-08 08:40:01.425548,R1,1,1605,1.959707,0.149707,True,310.219
2026-06-08 08:40:01.437811,R1,2,1597,1.949939,0.139939,True,288.094
2026-06-08 08:40:01.449522,R1,3,1627,1.986569,0.176569,True,371.762
2026-06-08 08:40:01.461204,R1,4,1535,1.874237,0.064237,True,122.662
2026-06-08 08:40:01.472887,R1,5,1712,2.090354,0.280354,True,617.243
2026-06-08 08:40:02.186967,R2,1,1618,1.97558,0.14558,True,300.853
2026-06-08 08:40:02.198775,R2,2,1631,1.991453,0.161453,True,337.009
2026-06-08 08:40:02.210462,R2,3,1622,1.980464,0.150464,True,311.939
2026-06-08 08:40:02.222148,R2,4,1602,1.956044,0.126044,True,256.879
2026-06-08 08:40:02.233836,R2,5,1705,2.081807,0.251807,True,548.67
2026-06-08 08:41:01.438140,R1,1,1602,1.956044,0.146044,True,301.905
2026-06-08 08:41:01.450412,R1,2,1591,1.942613,0.132613,True,271.597
2026-06-08 08:41:01.462128,R1,3,1634,1.995116,0.185116,True,391.541
