timestamp,sensor_group,channel,raw_adc,raw_voltage_v,delta_voltage_v,dose_rad
2026-06-14T00:00:44.485742,R1,1,1595,1.947497,0.137497,282.585
2026-06-14T00:00:44.498597,R1,2,1586,1.936508,0.126508,257.916
2026-06-14T00:00:44.510577,R1,3,1628,1.98779,0.17779,374.582
2026-06-14T00:00:44.522608,R1,4,1520,1.855922,0.045922,84.891
2026-06-14T00:00:44.534422,R1,5,1700,2.075702,0.265702,581.958
2026-06-14T00:01:44.497515,R1,1,1596,1.948718,0.138718,285.338
2026-06-14T00:01:44.509858,R1,2,1587,1.937729,0.127729,260.648
2026-06-14T00:01:44.521855,R1,3,1623,1.981685,0.171685,360.5
2026-06-14T00:01:44.533851,R1,4,1525,1.862027,0.052027,97.344
2026-06-14T00:01:44.545890,R1,5,1706,2.083028,0.273028,599.578
2026-06-14T00:02:44.511149,R1,1,1598,1.95116,0.14116,290.851
2026-06-14T00:02:44.523707,R1,2,1583,1.932845,0.122845,249.739
2026-06-14T00:02:44.535499,R1,3,1625,1.984127,0.174127,366.127
2026-06-14T00:02:44.547292,R1,4,1521,1.857143,0.047143,87.369
2026-06-14T00:02:44.559252,R1,5,1703,2.079365,0.269365,590.762
2026-06-14T00:03:44.526795,R1,1,1594,1.946276,0.136276,279.834
2026-06-14T00:03:44.539348,R1,2,1588,1.93895,0.12895,263.381
2026-06-14T00:03:44.551149,R1,3,1621,1.979243,0.169243,354.881
2026-06-14T00:03:44.562932,R1,4,1522,1.858364,0.048364,89.854
2026-06-14T00:03:44.574720,R1,5,1703,2.079365,0.269365,590.762
2026-06-14T00:04:44.532851,R1,1,1595,1.947497,0.137497,282.585
2026-06-14T00:04:44.545486,R1,2,1590,1.941392,0.131392,268.856
2026-06-14T00:04:44.557483,R1,3,1623,1.981685,0.171685,360.5
2026-06-14T00:04:44.569395,R1,4,1521,1.857143,0.047143,87.369
2026-06-14T00:04:44.581284,R1,5,1703,2.079365,0.269365,590.762
2026-06-14T00:05:44.544164,R1,1,1589,1.940171,0.130171,266.117
2026-06-14T00:05:44.556473,R1,2,1583,1.932845,0.122845,249.739
2026-06-14T00:05:44.568250,R1,3,1626,1.985348,0.175348,368.944
2026-06-14T00:05:44.579998,R1,4,1521,1.857143,0.047143,87.369
2026-06-14T00:05:44.591854,R1,5,1704,2.080586,0.270586,593.7
2026-06-14T00:06:44.556798,R1,1,1596,1.948718,0.138718,285.338
