timestamp,sensor_group,channel,raw_adc,raw_voltage_v,delta_voltage_v,voltage_valid,dose_rad
2026-06-08 08:34:01.373906,R1,3,1635,1.996337,0.186337,True,394.374
2026-06-08 08:34:01.385582,R1,4,1529,1.866911,0.056911,True,107.409
2026-06-08 08:34:01.397330,R1,5,1705,2.081807,0.271807,True,596.638
2026-06-08 08:35:01.361172,R1,1,1595,1.947497,0.137497,True,282.585
2026-06-08 08:35:01.373487,R1,2,1594,1.946276,0.136276,True,279.834
2026-06-08 08:35:01.385222,R1,3,1626,1.985348,0.175348,True,368.944
2026-06-08 08:35:01.396994,R1,4,1535,1.874237,0.064237,True,122.662
2026-06-08 08:35:01.408692,R1,5,1710,2.087912,0.277912,True,611.349
2026-06-08 08:36:01.375152,R1,1,1598,1.95116,0.14116,True,290.851
2026-06-08 08:36:01.387378,R1,2,1601,1.954823,0.144823,True,299.138
2026-06-08 08:36:01.399216,R1,3,1627,1.986569,0.176569,True,371.762
2026-06-08 08:36:01.411104,R1,4,1535,1.874237,0.064237,True,122.662
2026-06-08 08:36:01.422872,R1,5,1710,2.087912,0.277912,True,611.349
2026-06-08 08:37:01.388709,R1,1,1600,1.953602,0.143602,True,296.374
2026-06-08 08:37:01.401213,R1,2,1600,1.953602,0.143602,True,296.374
2026-06-08 08:37:01.412946,R1,3,1633,1.993895,0.183895,True,388.71
2026-06-08 08:37:01.424626,R1,4,1531,1.869353,0.059353,True,112.473
2026-06-08 08:37:01.436307,R1,5,1714,2.092796,0.282796,True,623.141
2026-06-08 08:38:01.401927,R1,1,1596,1.948718,0.138718,True,285.338
2026-06-08 08:38:01.414981,R1,2,1599,1.952381,0.142381,True,293.611
2026-06-08 08:38:01.427010,R1,3,1638,2.0,0.19,True,402.884
2026-06-08 08:38:01.438910,R1,4,1536,1.875458,0.065458,True,125.221
2026-06-08 08:38:01.450771,R1,5,1705,2.081807,0.271807,True,596.638
2026-06-08 08:39:01.412074,R1,1,1605,1.959707,0.149707,True,310.219
2026-06-08 08:39:01.424383,R1,2,1597,1.949939,0.139939,True,288.094
2026-06-08 08:39:01.436063,R1,3,1629,1.989011,0.179011,True,377.404
2026-06-08 08:39:01.447757,R1,4,1527,1.864469,0.054469,True,102.365
2026-06-08 08:39:01.459428,R1,5,1706,2.083028,0.273028,True,599.578
2026-06-08 08:40:01.425548,R1,1,1605,1.959707,0.149707,True,310.219
2026-06-08 08:40:01.437811,R1,2,1597,1.949939,0.139939,True,288.094
2026-06-08 08:40:01.449522,R1,3,1627,1.986569,0.176569,True,371.762
2026-06-08 08:40:01.461204,R1,4,1535,1.874237,0.064237,True,122.662
2026-06-08 08:40:01.472887,R1,5,1712,2.090354,0.280354,True,617.243
2026-06-08 08:41:01.438140,R1,1,1602,1.956044,0.146044,True,301.905
2026-06-08 08:41:01.450412,R1,2,1591,1.942613,0.132613,True,271.597
2026-06-08 08:41:01.462128,R1,3,1634,1.995116,0.185116,True,391.541
2026-06-08 08:41:01.473801,R1,4,1532,1.870574,0.060574,True,115.013
2026-06-08 08:41:01.485473,R1,5,1712,2.090354,0.280354,True,617.243
2026-06-08 08:42:01.455129,R1,1,1599,1.952381,0.142381,True,293.611
2026-06-08 08:42:01.467370,R1,2,1596,1.948718,0.138718,True,285.338
2026-06-08 08:42:01.479111,R1,3,1639,2.001221,0.191221,True,405.724
2026-06-08 08:42:01.490826,R1,4,1530,1.868132,0.058132,True,109.938
2026-06-08 08:42:01.502492,R1,5,1714,2.092796,0.282796,True,623.141
2026-06-08 08:43:01.465561,R1,1,1602,1.956044,0.146044,True,301.905
2026-06-08 08:43:01.477801,R1,2,1596,1.948718,0.138718,True,285.338
2026-06-08 08:43:01.489512,R1,3,1631,1.991453,0.181453,True,383.053
2026-06-08 08:43:01.501198,R1,4,1522,1.858364,0.048364,True,89.854
2026-06-08 08:43:01.512933,R1,5,1712,2.090354,0.280354,True,617.243
2026-06-08 08:44:01.476582,R1,1,1598,1.95116,0.14116,True,290.851
2026-06-08 08:44:01.488868,R1,2,1604,1.958486,0.148486,True,307.445
2026-06-08 08:44:01.500889,R1,3,1637,1.998779,0.188779,True,400.046
2026-06-08 08:44:01.512965,R1,4,1530,1.868132,0.058132,True,109.938
2026-06-08 08:44:01.525127,R1,5,1711,2.089133,0.279133,True,614.296
2026-06-08 08:45:01.491704,R1,1,1596,1.948718,0.138718,True,285.338
2026-06-08 08:45:01.503892,R1,2,1596,1.948718,0.138718,True,285.338
2026-06-08 08:45:01.515600,R1,3,1624,1.982906,0.172906,True,363.313
2026-06-08 08:45:01.527275,R1,4,1528,1.86569,0.05569,True,104.884
